timestamp,demanda_mw,hora,dia_sem,mes,dia_anio,hora_sin,hora_cos,dia_sin,dia_cos,mes_sin,mes_cos,es_finde,es_festivo
2023-01-03 17:00:00,30132.628,18,1,1,3,-1.0,-1.8369701987210294e-16,0.7818314824680298,0.6234898018587336,0.0,1.0,0,0
2023-01-03 18:00:00,30954.982,19,1,1,3,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,0.0,1.0,0,0
2023-01-03 19:00:00,31419.607,20,1,1,3,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.0,1.0,0,0
2023-01-03 20:00:00,30933.069,21,1,1,3,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,0.0,1.0,0,0
2023-01-03 21:00:00,28382.435,22,1,1,3,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,0.0,1.0,0,0
2023-01-03 22:00:00,25712.933,23,1,1,3,-0.2588190451025215,0.965925826289068,0.7818314824680298,0.6234898018587336,0.0,1.0,0,0
2023-01-03 23:00:00,23852.375,0,2,1,4,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.0,1.0,0,0
2023-01-04 00:00:00,22153.006,1,2,1,4,0.2588190451025207,0.9659258262890684,0.9749279121818236,-0.2225209339563143,0.0,1.0,0,0
2023-01-04 01:00:00,21073.895,2,2,1,4,0.4999999999999999,0.8660254037844387,0.9749279121818236,-0.2225209339563143,0.0,1.0,0,0
2023-01-04 02:00:00,20560.265,3,2,1,4,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.2225209339563143,0.0,1.0,0,0
2023-01-04 03:00:00,20483.687,4,2,1,4,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,0.0,1.0,0,0
2023-01-04 04:00:00,21070.575,5,2,1,4,0.9659258262890684,0.2588190451025207,0.9749279121818236,-0.2225209339563143,0.0,1.0,0,0
2023-01-04 05:00:00,23415.529,6,2,1,4,1.0,6.123233995736766e-17,0.9749279121818236,-0.2225209339563143,0.0,1.0,0,0
2023-01-04 06:00:00,26502.718,7,2,1,4,0.9659258262890684,-0.2588190451025206,0.9749279121818236,-0.2225209339563143,0.0,1.0,0,0
2023-01-04 07:00:00,28768.814,8,2,1,4,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.2225209339563143,0.0,1.0,0,0
2023-01-04 08:00:00,30224.095,9,2,1,4,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.2225209339563143,0.0,1.0,0,0
2023-01-04 09:00:00,30521.206,10,2,1,4,0.4999999999999999,-0.8660254037844387,0.9749279121818236,-0.2225209339563143,0.0,1.0,0,0
2023-01-04 10:00:00,30063.394,11,2,1,4,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.2225209339563143,0.0,1.0,0,0
2023-01-04 11:00:00,29712.905,12,2,1,4,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.2225209339563143,0.0,1.0,0,0
2023-01-04 12:00:00,29647.474,13,2,1,4,-0.2588190451025208,-0.9659258262890684,0.9749279121818236,-0.2225209339563143,0.0,1.0,0,0
2023-01-04 13:00:00,29188.396,14,2,1,4,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.2225209339563143,0.0,1.0,0,0
2023-01-04 14:00:00,28267.462,15,2,1,4,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.2225209339563143,0.0,1.0,0,0
2023-01-04 15:00:00,28031.027,16,2,1,4,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,0.0,1.0,0,0
2023-01-04 16:00:00,28591.751,17,2,1,4,-0.9659258262890684,-0.2588190451025206,0.9749279121818236,-0.2225209339563143,0.0,1.0,0,0
2023-01-04 17:00:00,30256.371,18,2,1,4,-1.0,-1.8369701987210294e-16,0.9749279121818236,-0.2225209339563143,0.0,1.0,0,0
2023-01-04 18:00:00,30897.909,19,2,1,4,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.2225209339563143,0.0,1.0,0,0
2023-01-04 19:00:00,31452.003,20,2,1,4,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,0.0,1.0,0,0
2023-01-04 20:00:00,31039.473,21,2,1,4,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.2225209339563143,0.0,1.0,0,0
2023-01-04 21:00:00,28495.936,22,2,1,4,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.2225209339563143,0.0,1.0,0,0
2023-01-04 22:00:00,25946.101,23,2,1,4,-0.2588190451025215,0.965925826289068,0.9749279121818236,-0.2225209339563143,0.0,1.0,0,0
2023-01-04 23:00:00,24142.474,0,3,1,5,0.0,1.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0,0
2023-01-05 00:00:00,22471.071,1,3,1,5,0.2588190451025207,0.9659258262890684,0.4338837391175582,-0.900968867902419,0.0,1.0,0,0
2023-01-05 01:00:00,21277.485,2,3,1,5,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,0.0,1.0,0,0
2023-01-05 02:00:00,20688.058,3,3,1,5,0.7071067811865475,0.7071067811865476,0.4338837391175582,-0.900968867902419,0.0,1.0,0,0
2023-01-05 03:00:00,20530.63,4,3,1,5,0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,0.0,1.0,0,0
2023-01-05 04:00:00,21087.675,5,3,1,5,0.9659258262890684,0.2588190451025207,0.4338837391175582,-0.900968867902419,0.0,1.0,0,0
2023-01-05 05:00:00,23277.195,6,3,1,5,1.0,6.123233995736766e-17,0.4338837391175582,-0.900968867902419,0.0,1.0,0,0
2023-01-05 06:00:00,26415.842,7,3,1,5,0.9659258262890684,-0.2588190451025206,0.4338837391175582,-0.900968867902419,0.0,1.0,0,0
2023-01-05 07:00:00,28636.827,8,3,1,5,0.8660254037844387,-0.4999999999999998,0.4338837391175582,-0.900968867902419,0.0,1.0,0,0
2023-01-05 08:00:00,30129.282,9,3,1,5,0.7071067811865476,-0.7071067811865475,0.4338837391175582,-0.900968867902419,0.0,1.0,0,0
2023-01-05 09:00:00,30363.894,10,3,1,5,0.4999999999999999,-0.8660254037844387,0.4338837391175582,-0.900968867902419,0.0,1.0,0,0
2023-01-05 10:00:00,29831.764,11,3,1,5,0.258819045102521,-0.9659258262890682,0.4338837391175582,-0.900968867902419,0.0,1.0,0,0
2023-01-05 11:00:00,29293.703,12,3,1,5,1.2246467991473532e-16,-1.0,0.4338837391175582,-0.900968867902419,0.0,1.0,0,0
2023-01-05 12:00:00,29128.646,13,3,1,5,-0.2588190451025208,-0.9659258262890684,0.4338837391175582,-0.900968867902419,0.0,1.0,0,0
2023-01-05 13:00:00,28421.982,14,3,1,5,-0.4999999999999997,-0.8660254037844388,0.4338837391175582,-0.900968867902419,0.0,1.0,0,0
2023-01-05 14:00:00,27570.743,15,3,1,5,-0.7071067811865471,-0.7071067811865479,0.4338837391175582,-0.900968867902419,0.0,1.0,0,0
2023-01-05 15:00:00,27274.641,16,3,1,5,-0.8660254037844384,-0.5000000000000004,0.4338837391175582,-0.900968867902419,0.0,1.0,0,0
2023-01-05 16:00:00,27399.502,17,3,1,5,-0.9659258262890684,-0.2588190451025206,0.4338837391175582,-0.900968867902419,0.0,1.0,0,0
2023-01-05 17:00:00,28390.358,18,3,1,5,-1.0,-1.8369701987210294e-16,0.4338837391175582,-0.900968867902419,0.0,1.0,0,0
2023-01-05 18:00:00,28417.5,19,3,1,5,-0.9659258262890684,0.2588190451025203,0.4338837391175582,-0.900968867902419,0.0,1.0,0,0
2023-01-05 19:00:00,28571.589,20,3,1,5,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,0.0,1.0,0,0
2023-01-05 20:00:00,28323.884,21,3,1,5,-0.7071067811865477,0.7071067811865474,0.4338837391175582,-0.900968867902419,0.0,1.0,0,0
2023-01-05 21:00:00,26551.544,22,3,1,5,-0.5000000000000004,0.8660254037844384,0.4338837391175582,-0.900968867902419,0.0,1.0,0,0
2023-01-05 22:00:00,24669.704,23,3,1,5,-0.2588190451025215,0.965925826289068,0.4338837391175582,-0.900968867902419,0.0,1.0,0,0
2023-01-05 23:00:00,23038.876,0,4,1,6,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.0,1.0,0,1
2023-01-06 00:00:00,21466.451,1,4,1,6,0.2588190451025207,0.9659258262890684,-0.433883739117558,-0.9009688679024191,0.0,1.0,0,1
2023-01-06 01:00:00,20109.015,2,4,1,6,0.4999999999999999,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.0,1.0,0,1
2023-01-06 02:00:00,19360.185,3,4,1,6,0.7071067811865475,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0.0,1.0,0,1
2023-01-06 03:00:00,18868.161,4,4,1,6,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.0,1.0,0,1
2023-01-06 04:00:00,18876.201,5,4,1,6,0.9659258262890684,0.2588190451025207,-0.433883739117558,-0.9009688679024191,0.0,1.0,0,1
2023-01-06 05:00:00,19264.516,6,4,1,6,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.0,1.0,0,1
2023-01-06 06:00:00,20281.31,7,4,1,6,0.9659258262890684,-0.2588190451025206,-0.433883739117558,-0.9009688679024191,0.0,1.0,0,1
2023-01-06 07:00:00,20776.558,8,4,1,6,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.0,1.0,0,1
2023-01-06 08:00:00,22191.804,9,4,1,6,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,0.0,1.0,0,1
2023-01-06 09:00:00,23549.417,10,4,1,6,0.4999999999999999,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.0,1.0,0,1
2023-01-06 10:00:00,23961.871,11,4,1,6,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,0.0,1.0,0,1
2023-01-06 11:00:00,23852.169,12,4,1,6,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.0,1.0,0,1
2023-01-06 12:00:00,23926.609,13,4,1,6,-0.2588190451025208,-0.9659258262890684,-0.433883739117558,-0.9009688679024191,0.0,1.0,0,1
2023-01-06 13:00:00,23577.724,14,4,1,6,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0.0,1.0,0,1
2023-01-06 14:00:00,22518.576,15,4,1,6,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,0.0,1.0,0,1
2023-01-06 15:00:00,22143.998,16,4,1,6,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.0,1.0,0,1
